NDC,Quantity,Cost,Extended Cost
02308088882,12,114.70,1376.40
07685004812,1,144.96,144.96
86808335800,7,38.11,266.77
00026005508,1,2.92,2.92
08026684417,11,64.57,710.27
82028808002,7,41.19,288.33
17125412002,16,44.56,712.96
31555073470,4,41.85,167.40
08046825240,5,36.38,181.90
08526345272,2,19.37,38.74
30717044563,10,64.11,641.10
77126870704,1,47.48,47.48
35032042866,4,78.30,313.20
18172062268,5,39.74,198.70
04111407660,1,2.35,2.35
25047030220,15,41.15,617.25
01542466668,2,5.63,11.26
05008727174,4,85.40,341.60
67126020370,6,2.16,12.96
36862012253,5,47.30,236.50
37113057675,17,60.40,1026.80
04455506538,4,16.26,65.04
04077272050,4,2.57,10.28
18434008018,8,8.08,64.64
12052057168,12,24.90,298.80
00772366127,19,97.84,1858.96
74764051707,4,3.12,12.48
60317863106,5,6.12,30.60
03734127842,2,95.78,191.56
83728238805,4,175.14,700.56
43535251406,5,15.77,78.85
42322235106,18,32.20,579.60
80262001416,1,24.92,24.92
08760067250,8,88.61,708.88
58244008185,6,41.38,248.28
02344462742,6,19.80,118.80
03257263351,8,22.12,176.96
45301140803,12,83.88,1006.56
83451018038,5,8.60,43.00
62436044537,10,68.56,685.60
13032508505,4,42.62,170.48
06761188626,5,49.44,247.20
22284002124,3,1.72,5.16
06340063161,2,10.26,20.52
18882045270,2,73.97,147.94
27155203800,3,190.47,571.41
36863301700,6,20.40,122.40
02355416541,1,28.37,28.37
30682051502,18,197.83,3560.94
44423026684,5,2.40,12.00
00063776734,1,20.77,20.77
04265743304,2,30.66,61.32
18348132402,7,6.25,43.75
18348132402,3,5.66,16.98
08080485660,12,32.32,387.84
38565041500,5,5.40,27.00
41257275507,6,49.85,299.10
05338425415,1,60.15,60.15
35145068034,6,62.69,376.14
23468034006,9,185.46,1669.14
07373455882,5,18.20,91.00
11042818707,18,42.46,764.28
53311770001,2,12.44,24.88
02136448580,1,17.50,17.50
11042818707,21,42.46,891.66
36863301700,7,19.79,138.53
50164076482,19,6.61,125.59
18882045270,3,84.33,252.99
24271641204,3,49.61,148.83
01357571172,8,163.89,1311.12
55312054580,13,124.72,1621.36
58836060183,3,116.08,348.24
08708725061,10,9.69,96.90
40118020667,4,23.87,95.48
07483248004,16,102.50,1640.00
36253068201,6,57.16,342.96
87146437804,3,43.78,131.34
07612418480,3,11.62,34.86
65411178506,17,19.68,334.56
23703013778,6,19.18,115.08
86031020252,1,48.76,48.76
47050022526,12,14.85,178.20
05786220107,10,28.34,283.40
15243051718,6,10.56,63.36
13054051855,22,80.11,1762.42
60403186805,6,168.23,1009.38
03463451606,2,29.56,59.12
34506068131,2,105.63,211.26
11532614107,3,5.88,17.64
58731658605,3,4.53,13.59
03230235538,2,5.54,11.08
06050482256,1,48.81,48.81
23322485302,2,167.47,334.94
82750780706,12,47.85,574.20
14308024454,21,170.61,3582.81
03326814581,5,6.92,34.60
07372655845,5,1.86,9.30
08535745878,9,16.27,146.43
00181726715,9,2.73,24.57
43614020818,4,12.70,50.80
88042037851,13,18.12,235.56
73530086136,5,45.00,225.00
44415071312,4,47.88,191.52
06664366745,2,24.20,48.40
03588307000,20,24.88,497.60
55002052578,12,57.13,685.56
05502374232,6,23.91,143.46
40832238708,1,81.93,81.93
71822003457,3,25.80,77.40
00537241124,1,25.97,25.97
61288321100,2,7.62,15.24
58036047503,4,43.95,175.80
05887121613,2,46.20,92.40
32034074842,3,6.85,20.55
24861085705,3,82.38,247.14
07070322185,4,35.24,140.96
06573263402,6,29.60,177.60
01146033621,4,46.22,184.88
07813658343,4,82.97,331.88
70003023267,3,165.69,497.07
03873662328,12,43.50,522.00
83506048835,24,86.76,2082.24
03571877106,20,183.90,3678.00
04077272050,6,2.57,15.42
81347534507,3,180.91,542.73
50386046268,12,103.44,1241.28
00242671881,3,81.38,244.14
84885021633,4,16.16,64.64
10302445207,1,37.22,37.22
02353643654,8,153.96,1231.68
02852833648,1,15.68,15.68
04884864801,6,75.44,452.64
36638055268,3,18.42,55.26
66281780608,5,38.59,192.95
63057056327,15,99.84,1497.60
05263421164,3,129.34,388.02
32186043141,5,96.50,482.50
06613056605,4,195.80,783.20
43064853208,13,13.27,172.51
14240734604,6,42.26,253.56
27418036154,2,80.09,160.18
56757204104,4,174.77,699.08
07361411340,8,116.15,929.20
52485577001,23,21.50,494.50
10327881002,6,17.24,103.44
30117010664,6,83.95,503.70
44061046113,6,92.70,556.20
01412472334,6,11.91,71.46
05008727174,5,85.40,427.00
28177741504,3,2.54,7.62
03107253221,2,45.58,91.16
04787042831,1,25.15,25.15
77582068021,3,136.21,408.63
82328441503,4,71.42,285.68
04085258765,2,85.57,171.14
71575788506,5,76.91,384.55
88163360806,8,47.48,379.84
00064700886,5,83.28,416.40
88546021347,4,103.85,415.40
83506048835,3,86.76,260.28
38648056813,6,32.28,193.68
82328441503,5,71.42,357.10
13876013813,6,75.77,454.62
06428061443,9,58.24,524.16
02303278072,15,22.26,333.90
77488445405,1,39.42,39.42
07617227525,5,42.45,212.25
07070322185,1,28.90,28.90
34163020708,1,128.40,128.40
52083802605,13,44.10,573.30
65733075417,10,22.18,221.80
07070322185,1,35.24,35.24
20388850702,3,111.88,335.64
01078654006,2,71.60,143.20
83577044705,1,78.95,78.95
73101087631,1,10.26,10.26
56030588001,24,11.66,279.84
45411032054,21,194.34,4081.14
76014311506,12,17.43,209.16
05125653007,1,27.10,27.10
05172421461,23,108.59,2497.57
46208228707,2,32.85,65.70
24825704602,8,24.21,193.68
05766282042,5,38.38,191.90
03204186431,3,4.25,12.75
07332122555,7,2.70,18.90
81766073272,8,3.32,26.56
27747730806,12,22.75,273.00
86163317701,1,103.87,103.87
04284806604,8,25.89,207.12
53562038122,5,50.71,253.55
62280086712,6,25.41,152.46
04375814688,8,75.17,601.36
26386632705,4,71.51,286.04
04884864801,6,75.44,452.64
10474860806,1,3.36,3.36
03143240016,4,58.14,232.56
00124170382,23,17.53,403.19
82654034731,11,97.88,1076.68
40118020667,6,23.87,143.22
31533022806,3,82.43,247.29
24103185203,2,25.69,51.38
03758362378,8,9.80,78.40
22734012426,3,35.34,106.02
66225800506,2,35.33,70.66
00877557574,2,33.98,67.96
46203073728,4,34.97,139.88
00537241124,12,27.92,335.04
26253415203,3,4.83,14.49
81347534507,4,180.91,723.64
00056561245,9,63.40,570.60
03463451606,1,28.97,28.97
22284002124,3,1.72,5.16
21005761101,4,35.16,140.64
48114374801,1,42.02,42.02
35085337508,2,41.68,83.36
76757063403,9,41.48,373.32
48114374801,14,40.79,571.06
71288437607,10,179.00,1790.00
71575788506,2,76.91,153.82
38573024056,6,183.68,1102.08
38034061648,3,186.70,560.10
24861085705,4,82.38,329.52
31533022806,2,82.43,164.86
53311770001,12,13.82,165.84
16268030416,8,32.20,257.60
51101050856,3,46.60,139.80
07483248004,22,102.50,2255.00
14803476504,2,20.89,41.78
85744468003,1,163.21,163.21
01576075357,5,140.24,701.20
01417002706,12,9.30,111.60
03571877106,5,183.90,919.50
06127213788,3,9.20,27.60
38550765103,14,89.19,1248.66
06761188626,5,49.44,247.20
46276005671,6,12.22,73.32
67388021100,12,34.55,414.60
03280733682,1,46.26,46.26
00278860110,6,23.81,142.86
54006057441,2,33.15,66.30
53013800606,6,93.90,563.40
56062083203,17,30.86,524.62
26852270102,2,93.88,187.76
08503214172,5,16.06,80.30
00721452680,12,41.51,498.12
07845071720,20,114.20,2284.00
06340063161,12,9.68,116.16
46641033025,5,46.85,234.25
13522534606,22,37.86,832.92
17363075823,3,19.62,58.86
02020808088,10,43.13,431.30
21803686508,5,159.11,795.55
21370077852,4,8.86,35.44
46012245606,5,69.60,348.00
88163360806,4,47.48,189.92
02743781343,10,90.29,902.90
32372511304,6,40.70,244.20
08080485660,6,32.32,193.92
60486088801,3,60.56,181.68
53728837506,4,95.85,383.40
63057056327,3,99.84,299.52
24123003385,3,105.36,316.08
08754068752,16,35.18,562.88
63611034775,10,38.60,386.00
76757063403,4,41.48,165.92
85221007334,2,46.40,92.80
87464123305,5,14.84,74.20
43282012035,12,7.29,87.48
60317863106,3,6.12,18.36
70023760008,6,3.40,20.40
36638055268,8,18.42,147.36
04604011552,5,1.27,6.35
37015154706,21,6.50,136.50
76531486403,16,47.89,766.24
03605257354,12,77.86,934.32
51823874305,20,160.69,3213.80
55282038281,21,24.77,520.17
17785085422,8,62.65,501.20
54803100708,3,60.70,182.10
82704766402,3,11.75,35.25
73427738500,2,39.11,78.22
03788083674,1,24.00,24.00
42307084205,3,33.51,100.53
27418036154,2,80.90,161.80
07402363234,4,3.31,13.24
78375042170,1,9.45,9.45
57221048078,2,40.15,80.30
08526345272,10,19.37,193.70
34614065838,24,51.62,1238.88
47050022526,2,14.85,29.70
06831851766,9,16.67,150.03
73272081382,10,48.90,489.00
00343774581,4,63.10,252.40
27804085722,6,18.02,108.12
05031152730,6,32.46,194.76
86031020252,5,48.76,243.80
00882324011,5,203.62,1018.10
00117837843,2,88.63,177.26
00056157406,5,167.90,839.50
07176264181,6,71.73,430.38
70688023626,5,43.50,217.50
05821577108,9,69.40,624.60
07617227525,2,44.57,89.14
07373455882,6,18.20,109.20
26852270102,3,84.49,253.47
04033451164,6,94.97,569.82
18634181801,2,17.28,34.56
18882045270,5,73.97,369.85
73607420701,23,188.62,4338.26
11428088287,5,44.14,220.70
01357571172,12,153.17,1838.04
03473655653,10,25.06,250.60
02571415155,6,47.35,284.10
52325074765,8,16.45,131.60
37462065835,12,43.67,524.04
65387048024,1,48.70,48.70
30682051502,17,197.83,3363.11
11878710802,5,21.71,108.55
76513056423,1,40.80,40.80
17524015882,6,34.78,208.68
04284806604,4,27.25,109.00
08001075148,16,84.82,1357.12
65348833402,3,2.95,8.85
03545220310,4,126.59,506.36
60317863106,9,5.39,48.51
03225755027,4,74.36,297.44
02353643654,1,153.96,153.96
78250814808,5,124.78,623.90
03731670703,17,42.53,723.01
07750225708,14,25.48,356.72
46276005671,6,12.22,73.32
05766282042,5,38.38,191.90
03681871524,10,16.10,161.00
00300601177,13,63.05,819.65
30676058688,2,4.20,8.40
25372086604,8,20.90,167.20
87184432300,6,42.42,254.52
07684067401,11,27.41,301.51
85033331100,9,75.20,676.80
01027606072,1,57.87,57.87
07315227720,9,13.69,123.21
63684056415,2,22.04,44.08
48074081648,11,177.77,1955.47
08423078536,2,36.31,72.62
04415101710,6,7.31,43.86
01576075357,1,140.24,140.24
14474445505,15,26.45,396.75
00816032553,3,26.11,78.33
57010325102,2,65.46,130.92
42878081266,5,81.73,408.65
55282038281,3,24.77,74.31
02212763478,9,48.98,440.82
75228246103,13,13.86,180.18
36862012253,9,47.30,425.70
05135781806,1,38.89,38.89
26841061831,9,45.85,412.65
01564257638,2,44.90,89.80
50386046268,4,103.44,413.76
07520566730,12,100.32,1203.84
81685676503,22,20.22,444.84
01027606072,10,57.87,578.70
05124712271,10,40.60,406.00
03003070132,10,4.79,47.90
04706002545,5,9.60,48.00
00056157406,3,167.90,503.70
48815204801,12,30.36,364.32
56757204104,5,174.77,873.85
08143876636,1,25.15,25.15
51243068514,6,5.34,32.04
36862012253,1,47.30,47.30
35563041824,16,26.55,424.80
18676683300,3,20.18,60.54
72555112401,1,14.59,14.59
07615187122,12,103.61,1243.32
72544035313,5,71.99,359.95
01107874005,3,19.63,58.89
46245066636,10,19.28,192.80
80642063357,6,48.84,293.04
73430850207,18,153.89,2770.02
02835010550,10,47.48,474.80
83445045812,3,22.23,66.69
18840054421,4,71.51,286.04
32254050511,2,56.92,113.84
30104054066,8,18.78,150.24
74826048448,1,101.15,101.15
21005761101,10,35.16,351.60
60486088801,6,59.45,356.70
82050151606,9,65.11,585.99
00817525046,14,36.51,511.14
82328441503,4,71.42,285.68
07684067401,13,27.41,356.33
52325074765,8,16.45,131.60
38034061648,14,186.70,2613.80
26510752401,1,97.69,97.69
05131770506,4,38.95,155.80
02876062203,23,183.71,4225.33
04008824583,2,15.55,31.10
05802088788,3,58.30,174.90
34077053538,1,36.73,36.73
17215636506,12,5.59,67.08
37200060657,15,34.63,519.45
08535745878,4,16.27,65.08
72555112401,10,14.59,145.90
60718043624,4,49.16,196.64
51071611600,5,19.45,97.25
35032042866,5,78.30,391.50
06050482256,3,48.81,146.43
84874043067,6,173.38,1040.28
47808036236,8,34.81,278.48
76000273006,5,8.10,40.50
03143240016,9,58.14,523.26
83132145206,6,11.12,66.72
08754068752,6,35.18,211.08
07728065001,4,3.17,12.68
02186546212,15,99.85,1497.75
14051766205,3,21.22,63.66
03750686345,6,41.41,248.46
05887121613,6,37.42,224.52
27151627202,15,183.30,2749.50
70737026244,8,3.68,29.44
05020562487,2,101.72,203.44
73024017561,8,36.49,291.92
08185680565,1,19.79,19.79
36257558003,12,30.55,366.60
00327503660,6,35.11,210.66
34614065838,6,51.62,309.72
08672546211,7,11.56,80.92
34312762100,5,29.69,148.45
26852270102,5,93.88,469.40
28722612208,2,87.49,174.98
81732011217,10,108.54,1085.40
02511048353,4,7.06,28.24
02140117748,4,142.70,570.80
03565847033,4,22.51,90.04
25372086604,5,20.90,104.50
07344271680,5,5.71,28.55
07183286375,1,38.69,38.69
11532614107,1,5.41,5.41
35085337508,5,41.68,208.40
00312533406,4,32.63,130.52
04507311782,12,120.47,1445.64
02852833648,2,15.68,31.36
36782276602,2,8.38,16.76
17524015882,12,34.78,417.36
01050722145,4,23.68,94.72
26886084653,6,5.69,34.14
02835225365,20,188.65,3773.00
35145068034,6,62.69,376.14
03031506178,1,47.92,47.92
17363075823,3,20.65,61.95
47553043710,21,69.21,1453.41
23322485302,24,169.16,4059.84
01342516835,2,41.45,82.90
64428085562,6,10.89,65.34
43531047011,1,31.42,31.42
73225046177,5,44.54,222.70
05077473617,9,48.19,433.71
08537376571,5,51.93,259.65
01146033621,3,46.22,138.66
01027606072,4,57.87,231.48
43282012035,10,7.29,72.90
02212763478,2,48.98,97.96
00278860110,3,22.62,67.86
02852833648,4,15.68,62.72
05008727174,5,85.40,427.00
34163020708,15,141.10,2116.50
87184432300,4,43.75,175.00
83577044705,3,86.76,260.28
42558425207,2,5.22,10.44
74104010185,19,33.63,638.97
10717037520,8,21.53,172.24
74764051707,9,3.12,28.08
17272028532,7,6.33,44.31
83188246105,22,34.76,764.72
00615331100,2,36.26,72.52
08662045253,6,3.54,21.24
66225800506,20,35.33,706.60
06766103116,4,36.40,145.60
05764352658,6,68.91,413.46
06543543341,4,40.78,163.12
13127207602,6,44.29,265.74
56030588001,5,11.66,58.30
73286002331,8,1.76,14.08
05688031681,8,27.27,218.16
44415071312,1,52.62,52.62
34216136301,3,9.28,27.84
41778087484,9,39.59,356.31
62733773100,6,36.37,218.22
08578356306,22,47.89,1053.58
86163317701,12,103.87,1246.44
78881075387,24,166.66,3999.84
83123611705,5,14.65,73.25
81323018781,3,13.56,40.68
02270568473,18,25.50,459.00
00348262243,4,37.67,150.68
47808036236,9,34.81,313.29
06704055687,1,135.52,135.52
86808335800,2,38.11,76.22
40783083047,5,42.81,214.05
61288321100,4,7.62,30.48
43065688203,2,27.98,55.96
02511048353,5,6.60,33.00
04761717823,4,11.39,45.56
07015220303,1,83.94,83.94
06070878245,6,94.80,568.80
48736081170,1,36.25,36.25
08755530826,3,78.03,234.09
78375042170,7,9.45,66.15
05124712271,1,40.60,40.60
86163317701,5,103.87,519.35
56030588001,1,11.66,11.66
74718073456,2,17.64,35.28
15538078068,4,63.73,254.92
46276005671,4,12.22,48.88
60056052855,3,98.49,295.47
07402363234,2,3.31,6.62
83123611705,5,14.65,73.25
30468074626,5,32.65,163.25
72672416204,4,73.32,293.28
60403186805,6,168.23,1009.38
81323018781,19,13.56,257.64
17585231808,8,40.78,326.24
31577105306,19,16.21,307.99
00452707313,5,16.17,80.85
82557237704,1,6.39,6.39
04375814688,2,75.17,150.34
03768071577,9,4.26,38.34
54437063541,12,25.82,309.84
04175505406,4,91.45,365.80
45301140803,5,88.30,441.50
07853724641,4,23.24,92.96
01146033621,1,46.22,46.22
02572346754,10,13.75,137.50
02353643654,2,153.96,307.92
81347534507,4,180.91,723.64
85840034387,2,1.28,2.56
51871100602,1,59.56,59.56
07176264181,10,71.73,717.30
05713846404,22,35.91,790.02
03204186431,6,3.53,21.18
20684131600,4,161.39,645.56
34114020601,2,9.57,19.14
07043358808,4,118.86,475.44
16447564707,16,47.19,755.04
80860072645,3,15.45,46.35
02501730521,10,56.98,569.80
01078654006,4,78.68,314.72
04787042831,6,29.94,179.64
05786220107,12,28.34,340.08
00586450074,10,14.40,144.00
56077734008,12,44.30,531.60
42020028763,4,25.97,103.88
42878081266,20,81.73,1634.60
30468074626,7,32.65,228.55
03750686345,4,37.68,150.72
46012245606,21,69.60,1461.60
30210881604,3,29.76,89.28
56342728506,4,121.09,484.36
03588307000,16,23.92,382.72
06428061443,4,50.09,200.36
04077272050,4,2.57,10.28
30454017506,4,13.30,53.20
04033451164,4,106.71,426.84
85840034387,6,1.28,7.68
06184242283,12,97.49,1169.88
02876062203,9,183.71,1653.39
52674025528,12,9.60,115.20
10717037520,3,22.20,66.60
15374613503,4,12.86,51.44
53244005777,5,110.35,551.75
08323077287,23,55.56,1277.88
51730840507,16,19.89,318.24
00238766055,10,3.42,34.20
88240066776,5,8.52,42.60
00278860110,1,23.81,23.81
06382587760,2,67.81,135.62
03545220310,2,134.19,268.38
05207050674,5,45.42,227.10
26110633308,2,28.50,57.00
14240734604,19,46.96,892.24
34114020601,3,9.57,28.71
03304542134,2,43.11,86.22
00540274655,6,12.53,75.18
16374018562,6,35.77,214.62
51765838303,5,51.35,256.75
30453038661,10,8.84,88.40
06708557147,3,47.20,141.60
00348262243,5,37.67,188.35
68227015567,6,155.49,932.94
08503214172,12,18.25,219.00
32435547807,2,17.50,35.00
81155154004,6,26.12,156.72
70082081801,3,34.42,103.26
81654071822,5,73.55,367.75
84642651401,2,47.33,94.66
05688031681,2,27.27,54.54
51765838303,10,51.35,513.50
01146033621,6,46.22,277.32
02145753114,10,42.70,427.00
18882045270,7,73.97,517.79
60718043624,3,51.13,153.39
52083802605,14,44.10,617.40
35155080567,9,24.53,220.77
06766103116,10,36.40,364.00
08236734414,12,29.61,355.32
03257263351,1,22.12,22.12
06684018405,11,75.47,830.17
73328057880,1,28.30,28.30
57700324001,6,60.75,364.50
58836060183,3,139.85,419.55
34615701107,10,33.59,335.90
30717044563,2,64.11,128.22
71337082711,2,116.82,233.64
07612418480,5,11.28,56.40
58425474101,14,36.52,511.28
83011751606,15,5.72,85.80
03280733682,3,46.26,138.78
03423861605,1,87.32,87.32
66281780608,4,43.99,175.96
55721048375,8,21.89,175.12
40314654001,1,96.09,96.09
06163126043,22,92.13,2026.86
74826048448,16,101.15,1618.40
05131770506,6,38.95,233.70
30654141001,10,18.58,185.80
56430043707,1,31.18,31.18
01326630608,11,83.49,918.39
18676683300,5,19.40,97.00
86808335800,2,38.11,76.22
08046825240,6,36.38,218.28
06127213788,2,9.20,18.40
10245012424,4,120.78,483.12
01417002706,1,8.84,8.84
16736025601,2,95.60,191.20
18348132402,2,5.90,11.80
45411032054,4,194.34,777.36
05688031681,4,26.18,104.72
81323018781,18,13.56,244.08
43065688203,19,27.98,531.62
82557237704,10,6.39,63.90
75601856608,3,43.43,130.29
08503214172,4,18.62,74.48
24775054576,1,19.97,19.97
00345328118,1,27.79,27.79
31552080745,18,110.15,1982.70
06183611337,12,23.60,283.20
04425568850,2,80.18,160.36
47050022526,5,14.85,74.25
00071620520,7,135.63,949.41
87180035408,3,13.29,39.87
00056157406,4,144.39,577.56
08143876636,1,25.15,25.15
07446082754,10,39.63,396.30
83451018038,3,8.08,24.24
04431020762,4,2.40,9.60
06382587760,8,69.19,553.52
04246411152,3,66.94,200.82
31533022806,1,79.96,79.96
82704766402,6,11.75,70.50
00702078465,4,77.77,311.08
37482412000,6,25.60,153.60
41074054345,4,44.40,177.60
07242155258,8,18.19,145.52
02654860673,2,38.79,77.58
71070082486,8,45.71,365.68
55721048375,14,21.89,306.46
07618661800,21,197.18,4140.78
18451008171,8,33.15,265.20
26852270102,6,93.88,563.28
08754068752,5,35.18,175.90
06008285235,12,149.73,1796.76
24866035020,1,40.45,40.45
70003023267,2,165.69,331.38
04388148133,10,37.81,378.10
30770022617,9,46.83,421.47
38565041500,14,5.40,75.60
06612574200,12,17.73,212.76
50660008581,4,17.20,68.80
27151627202,11,183.30,2016.30
77126870704,6,54.60,327.60
30676058688,5,4.20,21.00
08486122642,12,6.83,81.96
04536485152,3,30.80,92.40
86501001041,1,101.58,101.58
07684067401,4,27.14,108.56
07065007534,5,42.82,214.10
80177378604,11,28.10,309.10
03280733682,6,48.11,288.66
04111407660,8,2.35,18.80
01113388280,6,9.50,57.00
07823572607,17,30.90,525.30
40083818203,5,20.04,100.20
83188246105,5,34.76,173.80
05821534080,5,28.07,140.35
07813658343,1,82.97,82.97
56807467603,12,43.32,519.84
02136448580,5,17.50,87.50
16635465606,7,12.86,90.02
04623321658,2,5.66,11.32
07565063048,1,17.62,17.62
36352126001,13,41.36,537.68
02557875520,5,14.50,72.50
58036047503,1,43.95,43.95
20750015867,10,40.76,407.60
73286002331,6,1.76,10.56
13032508505,3,42.62,127.86
56030588001,7,11.66,81.62
08185680565,2,19.79,39.58
00242671881,8,81.38,651.04
26812757200,5,36.37,181.85
77521013605,5,193.69,968.45
03111623458,6,32.38,194.28
01326630608,2,83.49,166.98
88164014635,8,45.92,367.36
04124785251,11,79.40,873.40
07565063048,10,17.62,176.20
02185456874,1,98.91,98.91
16583035556,1,84.35,84.35
67388021100,2,34.55,69.10
20441377307,6,8.55,51.30
82050151606,1,65.11,65.11
07361411340,4,116.15,464.60
43253158201,11,28.32,311.52
44724671106,8,48.56,388.48
07881018574,3,22.34,67.02
80860072645,10,15.45,154.50
74826048448,8,101.15,809.20
01617020716,11,41.57,457.27
05125653007,5,27.10,135.50
63057056327,22,99.84,2196.48
00571044501,2,35.30,70.60
27151627202,3,183.30,549.90
30770022617,23,46.83,1077.09
03731670703,10,42.53,425.30
07617088702,21,77.15,1620.15
05370204306,14,8.65,121.10
00056561245,9,63.40,570.60
05172421461,4,108.59,434.36
20750015867,3,40.76,122.28
88546021347,2,103.85,207.70
30415871004,2,17.87,35.74
08672546211,8,12.37,98.96
22734012426,4,35.34,141.36
07617088702,9,77.15,694.35
07246055626,1,42.65,42.65
07372041547,1,35.70,35.70
53246041172,12,85.79,1029.48
82743566203,5,103.18,515.90
02840247221,2,79.38,158.76
63673011705,11,9.27,101.97
46381464602,6,1.77,10.62
04520585182,8,32.24,257.92
22706038501,12,75.51,906.12
00278860110,17,23.81,404.77
02518404715,5,25.89,129.45
06466040484,4,7.47,29.88
21803686508,5,160.70,803.50
33403252701,8,16.01,128.08
01373076811,8,18.60,148.80
37072066602,11,11.49,126.39
62436044537,5,78.80,394.00
03573201615,6,46.85,281.10
22221614701,1,181.12,181.12
04265743304,2,30.66,61.32
68443076076,9,12.35,111.15
13221088002,5,199.22,996.10
30354024017,19,47.21,896.99
67328043204,1,47.44,47.44
06404775414,3,33.00,99.00
17552157600,10,24.24,242.40
81323018781,18,13.56,244.08
40783083047,1,42.81,42.81
08672546211,8,11.56,92.48
12052057168,1,24.90,24.90
05031152730,1,27.27,27.27
03605257354,1,79.55,79.55
00063776734,8,20.77,166.16
26340071270,2,67.84,135.68
82743566203,9,98.27,884.43
03788083674,5,24.00,120.00
43614020818,6,12.70,76.20
26780051185,1,46.28,46.28
63740035235,2,66.78,133.56
44480035754,5,69.41,347.05
46381464602,8,1.71,13.68
00772366127,9,97.84,880.56
31577105306,4,16.21,64.84
18522847804,10,70.10,701.00
43855128706,4,94.19,376.76
71065055771,8,36.60,292.80
21160076183,1,41.62,41.62
84184771705,21,31.43,660.03
04653886306,4,31.60,126.40
71252031233,3,2.71,8.13
84106068871,7,155.65,1089.55
06753360232,4,41.28,165.12
02427405228,4,49.79,199.16
55282038281,2,25.76,51.52
08423078536,8,38.85,310.80
84341078570,3,31.30,93.90
07617227525,1,42.03,42.03
46722033835,12,82.28,987.36
02388043552,19,79.97,1519.43
00300601177,5,56.95,284.75
00452707313,10,16.01,160.10
36253068201,6,68.87,413.22
04637400581,22,39.95,878.90
45411032054,4,194.34,777.36
03235564306,10,20.15,201.50
37482412000,24,25.60,614.40
83577044705,6,70.28,421.68
38027344306,1,4.60,4.60
03811365405,4,36.99,147.96
22237013172,24,76.75,1842.00
36352126001,12,41.36,496.32
05753108778,7,44.37,310.59
08708725061,7,9.69,67.83
08731066085,12,43.70,524.40
00176385131,6,6.54,39.24
57221048078,11,40.15,441.65
03588307000,12,23.92,287.04
06428061443,3,58.24,174.72
88240066776,3,8.52,25.56
02855444802,7,86.38,604.66
00800454127,5,40.56,202.80
07741125361,2,40.83,81.66
00388478727,4,87.90,351.60
11532614107,3,5.88,17.64
00176385131,3,6.54,19.62
58425474101,2,36.52,73.04
06231617800,4,41.70,166.80
03234048842,23,16.60,381.80
57076243107,3,6.71,20.13
03565847033,3,22.51,67.53
06768448001,4,24.61,98.44
06753360232,5,41.28,206.40
51443045757,14,6.54,91.56
06466040484,4,7.47,29.88
10615351801,5,16.10,80.50
13522534606,6,37.86,227.16
02427405228,5,49.79,248.95
80084681507,1,23.81,23.81
02628356641,3,133.95,401.85
43553517005,9,48.45,436.05
21370077852,5,10.54,52.70
34114020601,8,9.57,76.56
00877557574,1,33.98,33.98
04841216075,6,23.27,139.62
64627327803,3,111.63,334.89
03446407035,20,23.22,464.40
06183611337,8,23.60,188.80
44480035754,12,69.41,832.92
07708156173,24,28.95,694.80
06613056605,4,207.55,830.20
23808487600,2,54.50,109.00
72672416204,1,73.32,73.32
32186043141,1,96.50,96.50
12303782403,6,37.61,225.66
00665226631,1,5.96,5.96
04706002545,3,9.60,28.80
30210881604,14,29.76,416.64
00062200774,19,32.97,626.43
61807000804,7,47.17,330.19
84341078570,6,31.30,187.80
04375814688,10,75.17,751.70
02437638600,4,161.92,647.68
06248011447,3,1.16,3.48
35445005085,7,20.05,140.35
05325303306,19,84.57,1606.83
08160285010,5,33.30,166.50
27225046588,12,18.30,219.60
36638055268,3,18.05,54.15
32720372500,18,36.95,665.10
76775513008,1,48.00,48.00
63057056327,7,99.84,698.88
05821534080,10,30.85,308.50
51101050856,6,46.60,279.60
21151023585,5,171.38,856.90
18348132402,3,5.90,17.70
04128023872,2,10.10,20.20
07618661800,10,197.18,1971.80
03230235538,1,5.54,5.54
63740035235,2,62.33,124.66
74625516304,1,24.80,24.80
03811365405,5,36.99,184.95
04008824583,10,15.55,155.50
25603046010,18,16.85,303.30
45871080718,3,134.17,402.51
03248034667,17,43.85,745.45
07015220303,12,89.30,1071.60
03463451606,3,29.56,88.68
08001075148,1,92.20,92.20
18670842001,6,32.49,194.94
14644170602,1,3.18,3.18
82677003840,3,38.44,115.32
77582068021,5,136.21,681.05
84184771705,16,33.32,533.12
27804085722,5,17.00,85.00
08423078536,4,36.31,145.24
86808335800,8,38.11,304.88
18676683300,6,19.40,116.40
02303278072,11,21.20,233.20
05778651281,9,111.33,1001.97
00586450074,2,14.40,28.80
14333083060,4,34.77,139.08
18348132402,11,5.90,64.90
20476117403,7,124.11,868.77
55312054580,3,124.72,374.16
02136448580,16,17.50,280.00
52674025528,3,9.60,28.80
04455506538,10,16.26,162.60
70082081801,12,34.42,413.04
04761717823,15,11.39,170.85
30354024017,2,47.21,94.42
06766103116,2,36.40,72.80
26234077663,8,27.36,218.88
85221007334,18,46.40,835.20
10535040462,17,1.19,20.23
13605533101,13,196.68,2556.84
07762415838,5,96.97,484.85
06200087254,6,26.01,156.06
01075808255,9,3.07,27.63
04310620070,14,22.13,309.82
06851020763,4,77.90,311.60
40314654001,5,90.65,453.25
08503214172,9,18.25,164.25
